epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,run,train/rsl_loss,val/rsl_loss
17,689.643,1.28388,1.20146,1.33656,0.66577,0.59422,0.63896,0.38218,1.46201,1.33448,1.46983,0.000526,0.000526,0.000526,2_yolov8s_rfd,,
18,729.063,1.27252,1.1602,1.32212,0.68439,0.59217,0.64698,0.39059,1.44157,1.28005,1.4552,0.000519812,0.000519812,0.000519812,2_yolov8s_rfd,,
19,769.176,1.25119,1.14672,1.30838,0.68793,0.57293,0.63264,0.37713,1.46132,1.31664,1.47212,0.000513625,0.000513625,0.000513625,2_yolov8s_rfd,,
20,808.768,1.24463,1.14567,1.31061,0.6757,0.60769,0.65379,0.39461,1.4306,1.26866,1.43996,0.000507438,0.000507438,0.000507438,2_yolov8s_rfd,,
21,848.739,1.23331,1.10787,1.29991,0.71198,0.58853,0.65904,0.39779,1.43657,1.25077,1.45204,0.00050125,0.00050125,0.00050125,2_yolov8s_rfd,,
22,888.536,1.23239,1.09017,1.2953,0.69894,0.59568,0.65977,0.40049,1.43056,1.28719,1.44361,0.000495063,0.000495063,0.000495063,2_yolov8s_rfd,,
23,928.964,1.21307,1.0589,1.28115,0.70018,0.60782,0.66687,0.40057,1.44572,1.24562,1.45687,0.000488875,0.000488875,0.000488875,2_yolov8s_rfd,,
24,969.144,1.2,1.04073,1.26999,0.70575,0.60472,0.66509,0.40334,1.42456,1.23961,1.45054,0.000482687,0.000482687,0.000482687,2_yolov8s_rfd,,
25,1009.22,1.20047,1.03127,1.27193,0.70627,0.58902,0.65787,0.39177,1.45677,1.26569,1.4537,0.0004765,0.0004765,0.0004765,2_yolov8s_rfd,,
26,1048.52,1.19127,1.01733,1.27153,0.69314,0.62017,0.67003,0.40472,1.43161,1.22359,1.44523,0.000470312,0.000470312,0.000470312,2_yolov8s_rfd,,
27,1088.4,1.17605,1.00383,1.25512,0.70627,0.60046,0.66051,0.39839,1.44962,1.26131,1.46596,0.000464125,0.000464125,0.000464125,2_yolov8s_rfd,,
28,1128.03,1.17248,0.98046,1.25363,0.73284,0.59391,0.6647,0.40019,1.45231,1.25788,1.46987,0.000457938,0.000457938,0.000457938,2_yolov8s_rfd,,
29,1167.94,1.15707,0.97892,1.24567,0.6995,0.60716,0.66183,0.40108,1.44452,1.23925,1.45481,0.00045175,0.00045175,0.00045175,2_yolov8s_rfd,,
30,1208.23,1.15222,0.95755,1.2389,0.70515,0.60656,0.65998,0.40115,1.44844,1.23804,1.45636,0.000445562,0.000445562,0.000445562,2_yolov8s_rfd,,
31,1248.46,1.14365,0.93687,1.23534,0.71537,0.60459,0.65734,0.39662,1.45429,1.24431,1.46914,0.000439375,0.000439375,0.000439375,2_yolov8s_rfd,,
32,1287.97,1.13111,0.92677,1.2249,0.71862,0.60932,0.66936,0.40989,1.44012,1.21197,1.45684,0.000433187,0.000433187,0.000433187,2_yolov8s_rfd,,
33,1327.92,1.12242,0.92132,1.22456,0.73294,0.60512,0.67737,0.4162,1.43192,1.19703,1.44626,0.000427,0.000427,0.000427,2_yolov8s_rfd,,
34,1367.82,1.12462,0.89777,1.21408,0.73714,0.60791,0.67976,0.41542,1.44278,1.17945,1.45153,0.000420812,0.000420812,0.000420812,2_yolov8s_rfd,,
35,1407.82,1.10798,0.89842,1.21437,0.74097,0.61259,0.68096,0.41615,1.4436,1.2008,1.4559,0.000414625,0.000414625,0.000414625,2_yolov8s_rfd,,
36,1447.69,1.11381,0.89072,1.21177,0.74582,0.61014,0.68336,0.42018,1.43138,1.17473,1.44633,0.000408438,0.000408438,0.000408438,2_yolov8s_rfd,,
37,1487.84,1.11002,0.86397,1.20114,0.71671,0.62898,0.67653,0.41127,1.42921,1.19429,1.44099,0.00040225,0.00040225,0.00040225,2_yolov8s_rfd,,
38,1528.14,1.07916,0.84521,1.18899,0.72536,0.60862,0.66787,0.40921,1.45442,1.21863,1.46187,0.000396063,0.000396063,0.000396063,2_yolov8s_rfd,,
39,1567.74,1.08453,0.85099,1.19313,0.71109,0.61901,0.66829,0.41142,1.43089,1.21199,1.45331,0.000389875,0.000389875,0.000389875,2_yolov8s_rfd,,
40,1607.3,1.06785,0.83733,1.18483,0.75371,0.60235,0.67784,0.41821,1.42431,1.19137,1.44609,0.000383688,0.000383688,0.000383688,2_yolov8s_rfd,,
41,1646.94,1.07093,0.84431,1.18764,0.73473,0.6251,0.6814,0.41699,1.43634,1.17039,1.45298,0.0003775,0.0003775,0.0003775,2_yolov8s_rfd,,
42,1686.54,1.06404,0.82702,1.18003,0.72585,0.60418,0.66405,0.40324,1.45955,1.24081,1.46328,0.000371313,0.000371313,0.000371313,2_yolov8s_rfd,,
43,1725.98,1.05179,0.80756,1.17084,0.73371,0.61674,0.67275,0.41191,1.44527,1.19107,1.46996,0.000365125,0.000365125,0.000365125,2_yolov8s_rfd,,
44,1765.45,1.05107,0.80527,1.17464,0.73448,0.62283,0.68172,0.42021,1.42794,1.17443,1.45357,0.000358938,0.000358938,0.000358938,2_yolov8s_rfd,,
45,1804.77,1.03288,0.78977,1.16556,0.71399,0.63566,0.68798,0.42167,1.42792,1.14501,1.44612,0.00035275,0.00035275,0.00035275,2_yolov8s_rfd,,
46,1844.26,1.03633,0.78977,1.16177,0.73852,0.611,0.6684,0.40995,1.43703,1.20869,1.4579,0.000346563,0.000346563,0.000346563,2_yolov8s_rfd,,
47,1883.74,1.02164,0.76434,1.15592,0.73022,0.62744,0.67938,0.4132,1.4441,1.19488,1.46561,0.000340375,0.000340375,0.000340375,2_yolov8s_rfd,,
48,1923.01,1.02135,0.77402,1.15137,0.72326,0.62086,0.66938,0.41124,1.43243,1.18263,1.4509,0.000334188,0.000334188,0.000334188,2_yolov8s_rfd,,
